"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","LM_gamma","LM_Re_t"
36974, 2.694156100000000e-01, -2.412336000000000e-02, 9.968474610615440e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.787467168605578e+00, 1.000000000000000e-10, 8.474217789240681e+04, 3.687557531758163e-01, 8.763479780556071e+02
37240, 2.947715300000000e-01, -2.284619000000000e-02, 9.970265342558540e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.787822142974147e+00, 1.000000000000000e-10, 8.472271277724215e+04, 3.713003147480248e-01, 8.770919001977114e+02
37506, 3.201279300000000e-01, -2.157848000000000e-02, 9.971582610328358e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.788125350834394e+00, 1.000000000000000e-10, 8.474042284128339e+04, 3.709150686227468e-01, 8.771745972464098e+02
37772, 3.454864400000000e-01, -2.035387000000000e-02, 9.972475060410984e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.788368971931793e+00, 1.000000000000000e-10, 8.471844600201382e+04, 3.705578929667462e-01, 8.773838405677551e+02
38038, 3.708483100000000e-01, -1.920127000000000e-02, 9.972830230730069e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.788522557718714e+00, 1.000000000000000e-10, 8.472642375206387e+04, 3.703062024225700e-01, 8.771634878773983e+02
38304, 3.962144000000000e-01, -1.814568000000000e-02, 9.972414124168399e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.788534868184388e+00, 1.000000000000000e-10, 8.474094557139116e+04, 3.692482625203484e-01, 8.761801523629566e+02
38570, 4.215832200000000e-01, -1.715723000000000e-02, 9.971630610240964e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.788468474831293e+00, 1.000000000000000e-10, 8.473463265958444e+04, 3.642908694836721e-01, 8.759084893866061e+02
38836, 4.469505000000000e-01, -1.613010000000000e-02, 9.971302284383231e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.788474483623601e+00, 1.000000000000000e-10, 8.475098155811372e+04, 3.659016334692642e-01, 8.771971114726834e+02
39102, 4.723166600000000e-01, -1.507567000000000e-02, 9.971449045000468e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.788554971740911e+00, 1.000000000000000e-10, 8.476228567893384e+04, 3.677597645376709e-01, 8.775051663611192e+02
39368, 4.976822500000000e-01, -1.400781000000000e-02, 9.971769912902835e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.788654373976457e+00, 1.000000000000000e-10, 8.474566008788761e+04, 3.689544789800467e-01, 8.777704356704961e+02
39634, 5.230478000000000e-01, -1.293872000000000e-02, 9.972197945297040e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.788767076560591e+00, 1.000000000000000e-10, 8.472922142094577e+04, 3.690953640216428e-01, 8.777642596742028e+02
39900, 5.484137400000000e-01, -1.187907000000000e-02, 9.972650295336547e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.788879753704246e+00, 1.000000000000000e-10, 8.473602161225566e+04, 3.691332072400259e-01, 8.778127085571109e+02
40166, 5.737804600000000e-01, -1.083816000000000e-02, 9.973109449744217e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.788991785688446e+00, 1.000000000000000e-10, 8.474365288835185e+04, 3.691525209494307e-01, 8.779070551918937e+02
40432, 5.991482600000000e-01, -9.824029999999999e-03, 9.973542741176596e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.789097630077410e+00, 1.000000000000000e-10, 8.475125794381989e+04, 3.691586149423612e-01, 8.780385761295906e+02
40698, 6.245173800000000e-01, -8.843540000000000e-03, 9.973947312890263e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.789198324528933e+00, 1.000000000000000e-10, 8.475788352480493e+04, 3.691530253273310e-01, 8.782106461994201e+02
40964, 6.498880000000000e-01, -7.902470000000000e-03, 9.974305786095624e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.789290082819770e+00, 1.000000000000000e-10, 8.476551705840617e+04, 3.691469435193661e-01, 8.783992020277827e+02
41230, 6.752602100000000e-01, -7.005570000000000e-03, 9.974628035358430e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.789375651377777e+00, 1.000000000000000e-10, 8.474673531483134e+04, 3.691654373652175e-01, 8.786197312956175e+02
41496, 7.006340800000000e-01, -6.156620000000000e-03, 9.974901164231971e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.789451040338657e+00, 1.000000000000000e-10, 8.475260854121839e+04, 3.691532175396269e-01, 8.788463481812548e+02
41762, 7.260095900000000e-01, -5.358490000000000e-03, 9.975145317301920e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.789521559465514e+00, 1.000000000000000e-10, 8.473226225290624e+04, 3.691711078515341e-01, 8.790921362055145e+02
42028, 7.513867100000000e-01, -4.613170000000000e-03, 9.975344365164243e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.789581589319923e+00, 1.000000000000000e-10, 8.473586369734388e+04, 3.691759208760187e-01, 8.793372161308956e+02
42294, 7.767653500000000e-01, -3.921820000000000e-03, 9.975534116779864e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.789640570492890e+00, 1.000000000000000e-10, 8.473739725010964e+04, 3.691794127065378e-01, 8.795961650004234e+02
42560, 8.021307100000000e-01, -3.285130000000000e-03, 9.975690206917599e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.789689157925031e+00, 1.000000000000000e-10, 8.473915078739174e+04, 3.692022678213523e-01, 8.798086214986594e+02
42826, 8.269682100000000e-01, -2.713880000000000e-03, 9.975876614240561e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.789744745206473e+00, 1.000000000000000e-10, 8.473852398011219e+04, 3.691911199810174e-01, 8.800182688882226e+02
43092, 8.510404400000000e-01, -2.208510000000000e-03, 9.976041161569901e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.789790327131923e+00, 1.000000000000000e-10, 8.473782131572776e+04, 3.699458599475896e-01, 8.800582966658210e+02
43358, 8.743707900000000e-01, -1.762550000000000e-03, 9.976293054157248e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.789856524984818e+00, 1.000000000000000e-10, 8.473563194174715e+04, 3.702966323019581e-01, 8.803214377065872e+02
43624, 8.969819600000000e-01, -1.369690000000000e-03, 9.976559953557279e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.789917027456641e+00, 1.000000000000000e-10, 8.473319329921763e+04, 3.706093603276933e-01, 8.805120093888966e+02
43890, 9.188961000000000e-01, -1.023840000000000e-03, 9.977000347974563e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.790023447582452e+00, 1.000000000000000e-10, 8.472921585791899e+04, 3.708453279201545e-01, 8.807328330239843e+02
44156, 9.401345100000000e-01, -7.191900000000000e-04, 9.977718698231872e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.790147113819495e+00, 1.000000000000000e-10, 8.469739242677220e+04, 3.715152040568117e-01, 8.809796048629789e+02
44422, 9.607179600000000e-01, -4.503200000000000e-04, 9.978982154653057e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.790451450846742e+00, 1.000000000000000e-10, 8.471275221780555e+04, 3.719874926255419e-01, 8.814874464471841e+02
44688, 9.806666200000000e-01, -2.121400000000000e-04, 9.980963237834440e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.790645247828480e+00, 1.000000000000000e-10, 8.466413054476579e+04, 3.795652960935376e-01, 8.786333800012029e+02
