x,y,cp,yplus,cf,LM_gamma,LM_gamma_sep,LM_gamma_eff,LM_Re_t,source,surface
0.37667,-0.01895,0.12507,,0.001364,,,,,xfoil,lower
0.37871,0.0986,-0.84095,,0.001242,,,,,xfoil,upper
0.3936,-0.01825,0.12607,,0.001419,,,,,xfoil,lower
0.39442,0.09818,-0.81836,,0.000858,,,,,xfoil,upper
0.41031,0.09759,-0.79627,,0.000499,,,,,xfoil,upper
0.41055,-0.01759,0.12545,,0.0015,,,,,xfoil,lower
0.42635,0.09684,-0.77632,,0.000237,,,,,xfoil,upper
0.42755,-0.01692,0.12479,,0.001542,,,,,xfoil,lower
0.44248,0.09596,-0.75826,,3.9e-05,,,,,xfoil,upper
0.44462,-0.01623,0.12541,,0.001517,,,,,xfoil,lower
0.45866,0.09496,-0.74202,,-9.2e-05,,,,,xfoil,upper
0.46175,-0.01552,0.12633,,0.001481,,,,,xfoil,lower
0.47486,0.09383,-0.72722,,-0.000186,,,,,xfoil,upper
0.47891,-0.0148,0.12773,,0.001432,,,,,xfoil,lower
0.49108,0.09258,-0.71363,,-0.000245,,,,,xfoil,upper
0.49609,-0.01408,0.12975,,0.001368,,,,,xfoil,lower
0.50732,0.0912,-0.70112,,-0.000281,,,,,xfoil,upper
0.51329,-0.01335,0.13153,,0.001323,,,,,xfoil,lower
0.52357,0.08972,-0.68963,,-0.0003,,,,,xfoil,upper
0.53048,-0.01263,0.13368,,0.001271,,,,,xfoil,lower
0.53983,0.08812,-0.67901,,-0.000307,,,,,xfoil,upper
0.54765,-0.01191,0.13597,,0.001221,,,,,xfoil,lower
0.5561,0.0864,-0.66907,,-0.000308,,,,,xfoil,upper
0.5648,-0.0112,0.1382,,0.00118,,,,,xfoil,lower
0.57237,0.08458,-0.6596,,-0.000305,,,,,xfoil,upper
0.58194,-0.01051,0.14049,,0.00114,,,,,xfoil,lower
0.58865,0.08265,-0.6504,,-0.000297,,,,,xfoil,upper
0.59906,-0.00983,0.14278,,0.001104,,,,,xfoil,lower
0.60492,0.08061,-0.64125,,-0.000284,,,,,xfoil,upper
0.61617,-0.00916,0.14499,,0.001073,,,,,xfoil,lower
0.6212,0.07847,-0.63193,,-0.000247,,,,,xfoil,upper
0.63326,-0.00851,0.14715,,0.001046,,,,,xfoil,lower
0.63747,0.07622,-0.55117,,0.00019,,,,,xfoil,upper
0.65035,-0.00789,0.14936,,0.001018,,,,,xfoil,lower
0.65373,0.07388,-0.46442,,0.001189,,,,,xfoil,upper
0.66742,-0.00728,0.15138,,0.000998,,,,,xfoil,lower
0.66999,0.07143,-0.41407,,0.002266,,,,,xfoil,upper
0.68449,-0.00669,0.15341,,0.000977,,,,,xfoil,lower
0.68624,0.06889,-0.3879,,0.003478,,,,,xfoil,upper
0.70155,-0.00613,0.15541,,0.000957,,,,,xfoil,lower
0.70249,0.06624,-0.3714,,0.004396,,,,,xfoil,upper
0.71861,-0.00559,0.15739,,0.000938,,,,,xfoil,lower
0.71872,0.0635,-0.35642,,0.004996,,,,,xfoil,upper
0.73493,0.06067,-0.34063,,0.005346,,,,,xfoil,upper
0.73566,-0.00507,0.15935,,0.00092,,,,,xfoil,lower
0.75114,0.05774,-0.32314,,0.005513,,,,,xfoil,upper
0.75271,-0.00458,0.16125,,0.000903,,,,,xfoil,lower
0.76733,0.05471,-0.30421,,0.005556,,,,,xfoil,upper
0.76976,-0.00411,0.1632,,0.000884,,,,,xfoil,lower
0.7835,0.05158,-0.28365,,0.005508,,,,,xfoil,upper
0.78681,-0.00366,0.1652,,0.000865,,,,,xfoil,lower
0.79965,0.04837,-0.26168,,0.005397,,,,,xfoil,upper
0.80386,-0.00324,0.16731,,0.000842,,,,,xfoil,lower
0.81578,0.04506,-0.23817,,0.005238,,,,,xfoil,upper
0.82091,-0.00285,0.16959,,0.000816,,,,,xfoil,lower
0.83189,0.04165,-0.21305,,0.005043,,,,,xfoil,upper
0.83796,-0.00248,0.17201,,0.000786,,,,,xfoil,lower
0.84798,0.03815,-0.18629,,0.004818,,,,,xfoil,upper
0.855,-0.00213,0.17478,,0.000749,,,,,xfoil,lower
0.86402,0.03457,-0.15782,,0.004569,,,,,xfoil,upper
0.87204,-0.00181,0.17792,,0.000703,,,,,xfoil,lower
0.88002,0.03089,-0.12731,,0.004294,,,,,xfoil,upper
0.88904,-0.0015,0.18157,,0.000645,,,,,xfoil,lower
0.89596,0.02712,-0.09453,,0.003994,,,,,xfoil,upper
0.90596,-0.00122,0.18576,,0.000574,,,,,xfoil,lower
0.91178,0.02329,-0.05924,,0.003669,,,,,xfoil,upper
0.92271,-0.00097,0.19056,,0.000487,,,,,xfoil,lower
0.92742,0.0194,-0.02147,,0.003319,,,,,xfoil,upper
0.93912,-0.00073,0.19589,,0.000382,,,,,xfoil,lower
0.9427,0.0155,0.01857,,0.002947,,,,,xfoil,upper
0.95486,-0.00052,0.20138,,0.000262,,,,,xfoil,lower
0.95737,0.01166,0.06048,,0.002555,,,,,xfoil,upper
0.96951,-0.00034,0.20642,,0.000137,,,,,xfoil,lower
0.97106,0.008,0.10236,,0.002162,,,,,xfoil,upper
0.98256,-0.00019,0.21036,,2e-05,,,,,xfoil,lower
0.98335,0.00465,0.14259,,0.001781,,,,,xfoil,upper
0.99364,-7e-05,0.21289,,-7.1e-05,,,,,xfoil,lower
0.99389,0.00172,0.17927,,0.001429,,,,,xfoil,upper
