x,y,cp,yplus,cf,source,surface
0.008,-0.00998,0.94308,,0.004243,xfoil,lower
0.00816,0.02245,-1.43811,,0.01334,xfoil,upper
0.01037,-0.01146,0.88802,,0.00448,xfoil,lower
0.01044,0.0248,-1.49876,,0.012352,xfoil,upper
0.01306,-0.01287,0.82635,,0.005515,xfoil,lower
0.01307,0.02724,-1.55474,,0.011559,xfoil,upper
0.01609,0.02978,-1.59608,,0.010399,xfoil,upper
0.0161,-0.01423,0.762,,0.005344,xfoil,lower
0.01955,-0.01554,0.71049,,0.004917,xfoil,lower
0.01957,0.03245,-1.63171,,0.009595,xfoil,upper
0.02348,-0.01683,0.65375,,0.00532,xfoil,lower
0.02358,0.03524,-1.66125,,0.008818,xfoil,upper
0.02799,-0.01811,0.61042,,0.004305,xfoil,lower
0.0282,0.03817,-1.68707,,0.008158,xfoil,upper
0.03322,-0.01939,0.56552,,0.004539,xfoil,lower
0.03352,0.04124,-1.69923,,0.007222,xfoil,upper
0.03935,-0.02069,0.52605,,0.003924,xfoil,lower
0.03963,0.04442,-1.71639,,0.006864,xfoil,upper
0.04659,-0.02204,0.49211,,0.003606,xfoil,lower
0.04661,0.04769,-1.7189,,0.006035,xfoil,upper
0.05449,0.05099,-1.71391,,0.005375,xfoil,upper
0.05521,-0.02345,0.45837,,0.003381,xfoil,lower
0.06329,0.05427,-1.70151,,0.004767,xfoil,upper
0.06543,-0.02496,0.42784,,0.003054,xfoil,lower
0.07298,0.05744,-1.67586,,0.004033,xfoil,upper
0.07737,-0.02657,0.39759,,0.002879,xfoil,lower
0.08347,0.06044,-1.64295,,0.003424,xfoil,upper
0.09091,-0.02828,0.36631,,0.002753,xfoil,lower
0.0947,0.06321,-1.59923,,0.002745,xfoil,upper
0.10568,-0.03006,0.33481,,0.00265,xfoil,lower
0.10656,0.0657,-1.54667,,0.002063,xfoil,upper
0.11901,0.0679,-1.4874,,0.001376,xfoil,upper
0.12124,-0.03187,0.30197,,0.002619,xfoil,lower
0.13197,0.06979,-1.42542,,0.0007,xfoil,upper
0.13716,-0.03367,0.26909,,0.002584,xfoil,lower
0.14542,0.07137,-1.36822,,0.000157,xfoil,upper
0.1532,-0.0354,0.23581,,0.002582,xfoil,lower
0.15934,0.07267,-1.32013,,-0.000202,xfoil,upper
0.16917,-0.03704,0.20201,,0.002599,xfoil,lower
0.17371,0.07371,-1.27996,,-0.000319,xfoil,upper
0.18498,-0.03853,0.17161,,0.002533,xfoil,lower
0.18851,0.07451,-1.24436,,-0.000312,xfoil,upper
0.20069,-0.03984,0.14661,,0.002406,xfoil,lower
0.20372,0.07511,-1.08895,,0.000749,xfoil,upper
0.21639,-0.04099,0.12385,,0.00233,xfoil,lower
0.21922,0.07555,-0.95769,,0.004205,xfoil,upper
0.23213,-0.04197,0.10639,,0.002183,xfoil,lower
0.23491,0.07583,-0.91695,,0.006915,xfoil,upper
0.24797,-0.0428,0.09249,,0.00205,xfoil,lower
0.25071,0.07595,-0.88686,,0.007898,xfoil,upper
0.26389,-0.04348,0.08012,,0.001961,xfoil,lower
0.26659,0.07594,-0.85388,,0.007973,xfoil,upper
0.27989,-0.04404,0.06894,,0.001888,xfoil,lower
0.28258,0.07579,-0.8225,,0.007756,xfoil,upper
0.29595,-0.04447,0.06093,,0.001777,xfoil,lower
0.29865,0.07551,-0.791,,0.007436,xfoil,upper
0.31208,-0.04479,0.05189,,0.001741,xfoil,lower
0.31477,0.07511,-0.75964,,0.007095,xfoil,upper
0.32827,-0.04499,0.04627,,0.001638,xfoil,lower
0.33096,0.0746,-0.73092,,0.006789,xfoil,upper
0.34452,-0.04509,0.04079,,0.001576,xfoil,lower
